Position ID,Action,Long / Short,Amount,Units,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,Notes
2917016638,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 599,98 ",0.559882,17/01/2025 14:09:38,17/01/2025 14:22:36,20," 1,80 ",0.00," 15,44 ",-,-," 21.432,71 "," 21.460,29 "," 21.968,32 "," 20.896,91 "," 0,00 ",-,CFD,
2917013023,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.186894,17/01/2025 14:02:33,17/01/2025 14:09:12,20," 0,60 ",0.00," 4,22 ",-,-," 21.402,41 "," 21.424,99 "," 21.937,98 "," 20.867,35 "," 0,00 ",-,CFD,
2917010110,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 599,99 ",0.561560,17/01/2025 13:57:34,17/01/2025 14:02:00,20," 1,80 ",-0.01," 19,53 ",-,-," 21.369,01 "," 21.403,79 "," 21.899,85 "," 20.834,79 "," 0,00 ",-,CFD,
2917007291,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 250,00 ",0.234088,17/01/2025 13:54:40,17/01/2025 13:57:17,20," 0,75 ",0.00," 2,13 ",-,-," 21.359,41 "," 21.368,49 "," 21.893,91 "," 20.825,43 "," 0,00 ",-,CFD,
2915649970,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 327,78 ",0.280576,16/01/2025 08:46:40,17/01/2025 13:50:52,20," 0,90 ",0.00,"(6,40)",-,-," 21.384,51 "," 21.361,69 "," 21.918,82 "," 20.750,90 ","(1,40)",-,CFD,
2916932663,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141433,17/01/2025 11:41:31,17/01/2025 13:50:52,20," 0,45 ",-0.01," 21,26 ",-,-," 21.211,40 "," 21.361,69 "," 21.741,48 "," 20.681,12 "," 0,00 ",-,CFD,
2915598504,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 219,44 ",0.187014,16/01/2025 07:56:51,17/01/2025 13:50:52,20," 0,60 ",0.00,"(5,05)",-,-," 21.388,71 "," 21.361,69 "," 21.922,92 "," 20.750,00 ","(0,93)",-,CFD,
2915690561,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 159,12 ",0.140517,16/01/2025 10:36:50,17/01/2025 13:50:26,20," 0,45 ",0.00," 1,71 ",-,-," 21.349,71 "," 21.361,90 "," 21.360,45 "," 20.750,97 ","(0,70)",-,CFD,
2915659689,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 266,86 ",0.234126,16/01/2025 09:15:08,17/01/2025 13:50:12,20," 0,75 ",0.00," 0,11 ",-,-," 21.356,01 "," 21.356,49 "," 21.360,53 "," 20.750,11 ","(1,17)",-,CFD,
2915871572,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 442,09 ",0.403510,16/01/2025 14:31:26,17/01/2025 13:44:29,20," 1,29 ",-0.01," 15,27 ",-,-," 21.312,95 "," 21.350,80 "," 21.350,70 "," 20.750,13 ","(2,02)",-,CFD,
2916378005,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.187931,16/01/2025 16:02:51,17/01/2025 13:44:29,20," 0,60 ",-0.01," 12,49 ",-,-," 21.284,35 "," 21.350,80 "," 21.350,56 "," 20.752,24 ","(0,94)",-,CFD,
2915777806,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 314,62 ",0.281213,16/01/2025 14:27:39,17/01/2025 13:44:29,20," 0,90 ",-0.01," 4,13 ",-,-," 21.336,11 "," 21.350,80 "," 21.350,76 "," 20.750,71 ","(1,40)",-,CFD,
2915775716,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 461,85 ",0.412430,16/01/2025 14:22:32,17/01/2025 13:44:29,20," 1,32 ",-0.01," 5,60 ",-,-," 21.336,91 "," 21.350,50 "," 21.350,44 "," 20.750,49 ","(2,06)",-,CFD,
2916500169,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141085,16/01/2025 17:27:57,17/01/2025 13:44:20,20," 0,45 ",0.00," 12,23 ",-,-," 21.263,65 "," 21.350,30 "," 21.350,29 "," 20.732,06 ","(0,70)",-,CFD,
2915708215,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 314,90 ",0.281201,16/01/2025 11:42:54,17/01/2025 13:43:31,20," 0,90 ",-0.01," 3,57 ",-,-," 21.337,01 "," 21.349,70 "," 21.350,03 "," 20.750,59 ","(1,40)",-,CFD,
2915915441,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,98 ",0.281825,16/01/2025 14:42:21,17/01/2025 13:43:31,20," 0,90 ",-0.01," 17,26 ",-,-," 21.288,95 "," 21.350,20 "," 21.350,15 "," 20.756,75 ","(1,41)",-,CFD,
2916525315,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.188407,16/01/2025 17:54:43,17/01/2025 13:29:36,20," 0,60 ",0.00," 13,16 ",-,-," 21.230,55 "," 21.300,40 "," 21.300,31 "," 20.699,79 ","(0,94)",-,CFD,
2916903653,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 250,00 ",0.236016,17/01/2025 10:08:05,17/01/2025 11:31:26,20," 0,75 ",-0.01," 4,70 ",-,-," 21.184,99 "," 21.204,90 "," 21.230,42 "," 20.655,37 "," 0,00 ",-,CFD,
2916862140,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.189214,17/01/2025 08:37:34,17/01/2025 10:02:55,20," 0,60 ",0.00," 9,56 ",-,-," 21.139,99 "," 21.190,51 "," 21.670,03 "," 20.611,49 "," 0,00 ",-,CFD,
2916778459,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.142055,17/01/2025 02:01:50,17/01/2025 08:36:51,20," 0,45 ",0.00," 2,69 ",-,-," 21.118,49 "," 21.137,41 "," 21.188,89 "," 20.590,53 "," 0,00 ",-,CFD,
2916775715,USD/JPY (USDJPY),Long," 150,00 ",4500.000000,17/01/2025 01:37:09,17/01/2025 02:50:04,30," 0,26 ",-0.06," 3,04 ",0.0064,0.0064," 155,32 "," 155,42 "," 155,42 "," 152,77 "," 0,00 ",-,CFD,
2916775830,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.142135,17/01/2025 01:38:46,17/01/2025 02:01:06,20," 0,45 ",0.00," 1,37 ",-,-," 21.106,69 "," 21.116,31 "," 21.634,36 "," 20.579,03 "," 0,00 ",-,CFD,
2916771554,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 250,00 ",0.236860,17/01/2025 01:12:59,17/01/2025 01:20:28,20," 0,75 ",0.00,"(1,65)",-,-," 21.109,49 "," 21.102,51 "," 21.637,12 "," 20.581,76 "," 0,00 ",-,CFD,
2916769547,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 250,00 ",0.237054,17/01/2025 00:42:58,17/01/2025 01:12:00,20," 0,75 ",0.00," 3,63 ",-,-," 21.092,19 "," 21.107,51 "," 21.619,49 "," 20.564,89 "," 0,00 ",-,CFD,
2916736366,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 300,00 ",0.284719,16/01/2025 21:02:05,17/01/2025 00:42:45,20," 0,90 ",-0.01," 4,36 ",-,-," 21.073,39 "," 21.088,71 "," 21.150,02 "," 20.546,56 ","(1,42)",-,CFD,
2916746630,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 260,00 ",0.247045,16/01/2025 21:32:54,16/01/2025 23:04:13,20," 0,78 ",0.00," 3,94 ",-,-," 21.048,78 "," 21.064,72 "," 21.150,00 "," 20.522,57 ","(1,23)",-,CFD,
2916606913,USD/JPY (USDJPY),Long," 150,00 ",4500.000000,16/01/2025 19:28:22,16/01/2025 19:52:33,30," 0,26 ",0.00," 2,12 ",0.0064,0.0064," 155,21 "," 155,28 "," 157,79 "," 152,66 "," 0,00 ",-,CFD,
2916564511,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.236373,16/01/2025 18:42:08,16/01/2025 19:27:22,20," 0,75 ",0.00," 8,49 ",-,-," 21.152,94 "," 21.188,86 "," 21.682,48 "," 20.624,12 "," 0,00 ",-,CFD,
2916524236,USD/JPY (USDJPY),Long," 249,99 ",7500.000000,16/01/2025 17:52:52,16/01/2025 18:54:09,30," 0,43 ",-0.10," 1,98 ",0.0064,0.0064," 155,28 "," 155,32 "," 157,87 "," 152,74 "," 0,00 ",-,CFD,
2916492341,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.282506,16/01/2025 17:19:00,16/01/2025 17:26:49,20," 0,90 ",0.00," 4,44 ",-,-," 21.238,45 "," 21.254,15 "," 21.767,87 "," 20.707,49 "," 0,00 ",-,CFD,
2916123408,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.282223,16/01/2025 15:10:23,16/01/2025 16:02:30,20," 0,90 ",0.00," 5,36 ",-,-," 21.259,75 "," 21.278,75 "," 21.794,83 "," 20.728,55 "," 0,00 ",-,CFD,
2916164654,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.282362,16/01/2025 15:10:44,16/01/2025 16:02:22,20," 0,90 ",0.00," 9,04 ",-,-," 21.249,25 "," 21.281,25 "," 21.780,28 "," 20.718,02 "," 0,00 ",-,CFD,
2916090951,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.188288,16/01/2025 15:09:07,16/01/2025 15:10:29,20," 0,60 ",0.00," 2,97 ",-,-," 21.244,25 "," 21.260,05 "," 21.776,28 "," 20.713,15 "," 0,00 ",-,CFD,
2915993841,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.188327,16/01/2025 14:51:50,16/01/2025 15:10:00,20," 0,60 ",0.00," 0,90 ",-,-," 21.239,55 "," 21.244,35 "," 21.770,74 "," 20.708,56 "," 0,00 ",-,CFD,
2916052664,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.188418,16/01/2025 15:03:36,16/01/2025 15:08:56,20," 0,60 ",0.00," 1,64 ",-,-," 21.229,35 "," 21.238,05 "," 21.759,26 "," 20.698,62 "," 0,00 ",-,CFD,
2916050426,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.188592,16/01/2025 15:02:24,16/01/2025 15:02:47,20," 0,60 ",0.00," 2,79 ",-,-," 21.209,75 "," 21.224,55 "," 21.742,35 "," 20.679,51 "," 0,00 ",-,CFD,
2916023956,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.188738,16/01/2025 15:00:38,16/01/2025 15:02:11,20," 0,60 ",0.00," 2,08 ",-,-," 21.193,34 "," 21.204,35 "," 21.724,92 "," 20.663,51 "," 0,00 ",-,CFD,
2915880453,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.234949,16/01/2025 14:33:27,16/01/2025 14:41:53,20," 0,75 ",0.00," 3,43 ",-,-," 21.281,15 "," 21.295,75 "," 21.807,34 "," 20.749,12 "," 0,00 ",-,CFD,
2915755715,USD/JPY (USDJPY),Long," 350,00 ",10500.000000,16/01/2025 13:32:53,16/01/2025 14:27:22,30," 0,61 ",-0.20,"(13,26)",0.0064,0.0064," 156,23 "," 156,03 "," 158,81 "," 153,67 "," 0,00 ",-,CFD,
2915764596,USD/JPY (USDJPY),Short," 260,00 ",7800.000000,16/01/2025 13:52:48,16/01/2025 14:27:22,30," 0,45 ",-0.15,"(8,40)",0.0064,0.0064," 155,88 "," 156,05 "," 153,28 "," 158,49 "," 0,00 ",-,CFD,
2915758153,USD/JPY (USDJPY),Long," 150,00 ",4500.000000,16/01/2025 13:38:45,16/01/2025 14:27:22,30," 0,26 ",-0.09,"(2,86)",0.0064,0.0064," 156,13 "," 156,03 "," 158,72 "," 153,57 "," 0,00 ",-,CFD,
2915692528,USD/JPY (USDJPY),Short," 300,00 ",9000.000000,16/01/2025 10:44:19,16/01/2025 14:27:22,30," 0,52 ",-0.17,"(22,38)",0.0064,0.0064," 155,66 "," 156,05 "," 153,06 "," 158,26 "," 0,00 ",-,CFD,
2915776770,USD/JPY (USDJPY),Long," 150,00 ",4500.000000,16/01/2025 14:25:01,16/01/2025 14:26:21,30," 0,26 ",-0.03," 0,35 ",0.0064,0.0064," 156,06 "," 156,07 "," 158,66 "," 153,50 "," 0,00 ",-,CFD,
2915764880,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 300,00 ",0.281458,16/01/2025 13:53:24,16/01/2025 14:22:25,20," 0,90 ",-0.01," 4,19 ",-,-," 21.317,50 "," 21.332,39 "," 21.851,05 "," 20.784,57 "," 0,00 ",-,CFD,
2915718936,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.187612,16/01/2025 12:19:01,16/01/2025 14:22:20,20," 0,60 ",0.00," 2,14 ",-,-," 21.320,50 "," 21.331,89 "," 21.853,51 "," 20.787,49 "," 0,00 ",-,CFD,
2915754944,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.187723,16/01/2025 13:31:18,16/01/2025 13:53:11,20," 0,60 ",0.00," 1,20 ",-,-," 21.307,90 "," 21.314,30 "," 21.839,88 "," 20.775,21 "," 0,00 ",-,CFD,
2915758014,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.187762,16/01/2025 13:38:23,16/01/2025 13:53:04,20," 0,60 ",0.00," 2,12 ",-,-," 21.303,50 "," 21.314,80 "," 21.837,32 "," 20.770,92 "," 0,00 ",-,CFD,
2915763837,USD/JPY (USDJPY),Short," 250,00 ",7500.000000,16/01/2025 13:51:25,16/01/2025 13:52:36,30," 0,43 ",-0.24," 2,84 ",0.0064,0.0064," 155,92 "," 155,86 "," 153,32 "," 158,53 "," 0,00 ",-,CFD,
2915761846,USD/JPY (USDJPY),Short," 250,00 ",7500.000000,16/01/2025 13:46:20,16/01/2025 13:51:13,30," 0,43 ",-0.15," 2,31 ",0.0064,0.0064," 155,98 "," 155,93 "," 153,38 "," 158,59 "," 0,00 ",-,CFD,
2915752983,USD/JPY (USDJPY),Long," 350,00 ",10500.000000,16/01/2025 13:28:00,16/01/2025 13:32:07,30," 0,60 ",0.00," 1,68 ",0.0064,0.0064," 156,30 "," 156,32 "," 158,90 "," 153,73 "," 0,00 ",-,CFD,
2915753456,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 300,00 ",0.281807,16/01/2025 13:28:48,16/01/2025 13:29:53,20," 0,90 ",0.00,"(4,28)",-,-," 21.291,10 "," 21.275,90 "," 21.823,38 "," 20.758,83 "," 0,00 ",-,CFD,
2915746210,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 429,99 ",0.404114,16/01/2025 13:15:15,16/01/2025 13:28:40,20," 1,29 ",0.00," 2,79 ",-,-," 21.281,10 "," 21.288,00 "," 21.813,95 "," 20.749,08 "," 0,00 ",-,CFD,
2915741099,USD/JPY (USDJPY),Long," 299,99 ",9000.000000,16/01/2025 13:04:41,16/01/2025 13:27:48,30," 0,52 ",-0.11," 5,99 ",0.0064,0.0064," 156,18 "," 156,29 "," 158,79 "," 153,62 "," 0,00 ",-,CFD,
2915740801,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 399,99 ",0.376028,16/01/2025 13:04:11,16/01/2025 13:15:10,20," 1,20 ",0.00," 1,62 ",-,-," 21.275,00 "," 21.279,30 "," 21.806,46 "," 20.743,13 "," 0,00 ",-,CFD,
2915731789,USD/JPY (USDJPY),Long," 350,00 ",10500.000000,16/01/2025 12:43:55,16/01/2025 13:04:31,30," 0,61 ",-0.06," 2,42 ",0.0064,0.0064," 156,13 "," 156,17 "," 158,74 "," 153,57 "," 0,00 ",-,CFD,
2915724709,USD/JPY (USDJPY),Long," 350,00 ",10500.000000,16/01/2025 12:29:30,16/01/2025 12:43:41,30," 0,61 ",0.00," 2,62 ",0.0064,0.0064," 156,09 "," 156,13 "," 158,69 "," 153,53 "," 0,00 ",-,CFD,
2915718839,USD/JPY (USDJPY),Long," 299,99 ",9000.000000,16/01/2025 12:18:33,16/01/2025 12:29:21,30," 0,52 ",-0.11," 5,82 ",0.0064,0.0064," 155,97 "," 156,07 "," 158,57 "," 153,41 "," 0,00 ",-,CFD,
2915716162,USD/JPY (USDJPY),Long," 350,00 ",10500.000000,16/01/2025 12:09:32,16/01/2025 12:29:16,30," 0,61 ",-0.20," 8,34 ",0.0064,0.0064," 155,95 "," 156,08 "," 158,55 "," 153,40 "," 0,00 ",-,CFD,
2915716302,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.140716,16/01/2025 12:09:59,16/01/2025 12:16:54,20," 0,45 ",0.00," 0,55 ",-,-," 21.319,40 "," 21.323,30 "," 21.851,98 "," 20.786,42 "," 0,00 ",-,CFD,
2915706855,USD/JPY (USDJPY),Long," 350,00 ",10500.000000,16/01/2025 11:37:44,16/01/2025 12:08:43,30," 0,61 ",-0.20," 5,52 ",0.0064,0.0064," 155,81 "," 155,89 "," 158,41 "," 153,26 "," 0,00 ",-,CFD,
2915704346,USD/JPY (USDJPY),Long," 249,99 ",7500.000000,16/01/2025 11:31:56,16/01/2025 11:37:36,30," 0,43 ",-0.05," 2,41 ",0.0064,0.0064," 155,75 "," 155,80 "," 158,35 "," 153,20 "," 0,00 ",-,CFD,
2915693766,USD/JPY (USDJPY),Long," 249,99 ",7500.000000,16/01/2025 10:48:27,16/01/2025 11:31:48,30," 0,43 ",-0.05," 1,30 ",0.0064,0.0064," 155,71 "," 155,74 "," 158,31 "," 153,16 "," 0,00 ",-,CFD,
2915690483,USD/JPY (USDJPY),Short," 250,00 ",7500.000000,16/01/2025 10:36:36,16/01/2025 10:43:58,30," 0,43 ",0.00," 1,30 ",0.0064,0.0064," 155,69 "," 155,67 "," 153,10 "," 158,30 "," 0,00 ",-,CFD,
2915659551,USD/JPY (USDJPY),Long," 199,99 ",6000.000000,16/01/2025 09:14:45,16/01/2025 10:35:30,30," 0,35 ",0.00,"(7,71)",0.0064,0.0064," 155,90 "," 155,70 "," 158,49 "," 153,34 "," 0,00 ",-,CFD,
2915659466,USD/JPY (USDJPY),Short," 250,00 ",7500.000000,16/01/2025 09:14:21,16/01/2025 10:34:59,30," 0,43 ",-0.10," 8,81 ",0.0064,0.0064," 155,90 "," 155,71 "," 153,30 "," 158,51 "," 0,00 ",-,CFD,
