Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
23/08/2024 14:27:47,Open Position,NSDQ100/USD," 149,99 ",0.151510," 0,00 "," 1.411,62 "," 961,63 ",2797012711,CFD," 0,00 "
23/08/2024 14:28:35,Position closed,NSDQ100/USD," 51,49 ",0.050528," 1,49 "," 1.413,11 "," 1.013,12 ",2797008739,CFD," 0,00 "
23/08/2024 14:28:35,Position closed,NSDQ100/USD," 51,14 ",0.050511," 1,14 "," 1.414,25 "," 1.064,26 ",2797007378,CFD," 0,00 "
23/08/2024 14:28:35,Position closed,NSDQ100/USD," 51,61 ",0.050534," 1,61 "," 1.415,86 "," 1.115,87 ",2796993145,CFD," 0,00 "
23/08/2024 14:28:35,Position closed,NSDQ100/USD," 51,37 ",0.050522," 1,37 "," 1.417,23 "," 1.167,24 ",2797009901,CFD," 0,00 "
23/08/2024 14:28:35,Position closed,NSDQ100/USD," 50,97 ",0.050502," 0,97 "," 1.418,20 "," 1.218,21 ",2797012437,CFD," 0,00 "
23/08/2024 14:28:35,Position closed,NSDQ100/USD," 152,98 ",0.151510," 2,99 "," 1.421,19 "," 1.371,19 ",2797012711,CFD," 0,00 "
23/08/2024 14:28:35,Position closed,NSDQ100/USD," 51,18 ",0.050512," 1,18 "," 1.422,37 "," 1.422,37 ",2797010545,CFD," 0,00 "
23/08/2024 14:29:30,Open Position,NSDQ100/USD," 50,00 ",0.050472," 0,00 "," 1.422,37 "," 1.372,37 ",2797015233,CFD," 0,00 "
23/08/2024 14:29:43,Open Position,NSDQ100/USD," 50,00 ",0.050466," 0,00 "," 1.422,37 "," 1.322,37 ",2797015674,CFD," 0,00 "
23/08/2024 14:30:11,Open Position,NSDQ100/USD," 50,00 ",0.050478," 0,00 "," 1.422,37 "," 1.272,37 ",2797016673,CFD," 0,00 "
23/08/2024 14:30:33,Open Position,NSDQ100/USD," 50,00 ",0.050491," 0,00 "," 1.422,37 "," 1.222,37 ",2797017529,CFD," 0,00 "
23/08/2024 14:30:44,Open Position,NSDQ100/USD," 99,99 ",0.101038," 0,00 "," 1.422,37 "," 1.122,38 ",2797017971,CFD," 0,00 "
23/08/2024 14:31:45,Position closed,NSDQ100/USD," 49,33 ",0.050472,"(0,67)"," 1.421,70 "," 1.171,71 ",2797015233,CFD," 0,00 "
23/08/2024 14:31:45,Position closed,NSDQ100/USD," 49,46 ",0.050478,"(0,54)"," 1.421,16 "," 1.221,17 ",2797016673,CFD," 0,00 "
23/08/2024 14:31:45,Position closed,NSDQ100/USD," 49,70 ",0.050491,"(0,30)"," 1.420,86 "," 1.270,87 ",2797017529,CFD," 0,00 "
23/08/2024 14:31:46,Position closed,NSDQ100/USD," 49,21 ",0.050466,"(0,79)"," 1.420,07 "," 1.320,08 ",2797015674,CFD," 0,00 "
23/08/2024 14:31:46,Position closed,NSDQ100/USD," 100,63 ",0.101038," 0,64 "," 1.420,71 "," 1.420,71 ",2797017971,CFD," 0,00 "
23/08/2024 14:45:55,Open Position,NSDQ100/USD," 149,99 ",0.152037," 0,00 "," 1.420,71 "," 1.270,72 ",2797047323,CFD," 0,00 "
