Position ID,Action,Long / Short,Amount,Units,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop lose rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
2799792960,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 999,99 ",1.023719,29/08/2024 13:40:34,29/08/2024 13:48:06,20," 3,00 ",0.00,"(2,79)",-,-," 19.536,61 "," 19.533,88 "," 20.025,54 "," 19.048,20 "," 0,00 ",-,CFD,US6311011026,
2799793992,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 679,99 ",0.696634,29/08/2024 13:41:20,29/08/2024 13:48:06,20," 2,04 ",0.00," 7,98 ",-,-," 19.522,42 "," 19.533,88 "," 20.009,15 "," 19.034,36 "," 0,00 ",-,CFD,US6311011026,
2799801233,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 109,99 ",0.112757,29/08/2024 13:46:04,29/08/2024 13:48:06,20," 0,33 ",0.00," 2,59 ",-,-," 19.510,92 "," 19.533,88 "," 19.996,34 "," 19.023,15 "," 0,00 ",-,CFD,US6311011026,
2799793532,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 910,00 ",0.932070,29/08/2024 13:40:56,29/08/2024 13:48:06,20," 2,73 ",0.00," 6,95 ",-,-," 19.526,42 "," 19.533,88 "," 20.017,35 "," 19.038,26 "," 0,00 ",-,CFD,US6311011026,
2799794287,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 999,98 ",1.025282,29/08/2024 13:41:39,29/08/2024 13:48:06,20," 3,00 ",0.00," 27,95 ",-,-," 19.506,62 "," 19.533,88 "," 19.997,16 "," 19.018,96 "," 0,00 ",-,CFD,US6311011026,
2799790646,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 999,99 ",1.024531,29/08/2024 13:39:03,29/08/2024 13:40:13,20," 3,00 ",0.00," 8,17 ",-,-," 19.521,12 "," 19.529,09 "," 20.007,92 "," 19.033,10 "," 0,00 ",-,CFD,US6311011026,
2799791815,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.307493,29/08/2024 13:39:41,29/08/2024 13:40:13,20," 0,90 ",0.00," 5,06 ",-,-," 19.512,62 "," 19.529,09 "," 20.001,26 "," 19.024,81 "," 0,00 ",-,CFD,US6311011026,
2799791157,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 999,99 ",1.024930,29/08/2024 13:39:16,29/08/2024 13:40:13,20," 3,00 ",0.00," 15,96 ",-,-," 19.513,52 "," 19.529,09 "," 20.005,36 "," 19.026,63 "," 0,00 ",-,CFD,US6311011026,
2799789017,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 770,00 ",0.788836,29/08/2024 13:38:03,29/08/2024 13:38:44,20," 2,31 ",0.00," 7,31 ",-,-," 19.522,42 "," 19.531,69 "," 20.006,59 "," 19.034,36 "," 0,00 ",-,CFD,US6311011026,
2799788171,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 1.499,89 ",1.535515,29/08/2024 13:37:31,29/08/2024 13:38:44,20," 4,50 ",0.00,"(6,63)",-,-," 19.536,01 "," 19.531,69 "," 20.024,00 "," 19.047,61 "," 0,00 ",-,CFD,US6311011026,
2799786144,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 769,99 ",0.788452,29/08/2024 13:36:24,29/08/2024 13:37:03,20," 2,31 ",0.00," 13,06 ",-,-," 19.531,92 "," 19.548,48 "," 20.022,17 "," 19.043,63 "," 0,00 ",-,CFD,US6311011026,
2799783301,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 459,91 ",0.470951,29/08/2024 13:35:19,29/08/2024 13:37:03,20," 1,38 ",0.00," 7,99 ",-,-," 19.531,52 "," 19.548,48 "," 20.025,03 "," 19.045,34 "," 0,00 ",-,CFD,US6311011026,
2799784885,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 999,99 ",1.023875,29/08/2024 13:35:58,29/08/2024 13:37:03,20," 3,00 ",0.00," 15,21 ",-,-," 19.533,62 "," 19.548,48 "," 20.022,99 "," 19.045,28 "," 0,00 ",-,CFD,US6311011026,
2799541934,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 1.100,00 ",1.150234,28/08/2024 23:27:06,29/08/2024 13:33:54,20," 3,37 ",0.00," 432,43 ",-,-," 19.126,54 "," 19.502,49 "," 19.822,18 "," 18.648,38 "," 0,00 ",-,CFD,US6311011026,
2799342043,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 275,00 ",0.258692,28/08/2024 15:37:27,29/08/2024 13:33:54,20," 0,76 ",0.00," 45,14 ",-,-," 19.328,00 "," 19.502,49 "," 19.809,97 "," 18.748,16 ","(1,37)",-,CFD,US6311011026,
