Position ID,Action,Long / Short,Amount,Units / Contracts,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
3095908187,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 130,00 ",0.110689,07/08/2025 14:12:17,07/08/2025 14:27:32,20," 0,38 ",0.00," 5,37 ",-,-," 23.489,79 "," 23.441,32 "," 22.900,21 "," 24.074,57 "," 0,00 ",-,CFD,US6311011026,
3095907016,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,98 ",0.102126,07/08/2025 14:11:41,07/08/2025 14:15:26,20," 0,36 ",0.00,"(0,33)",-,-," 23.498,42 "," 23.495,19 "," 24.088,34 "," 22.913,30 "," 0,00 ",-,CFD,US6311011026,
3095888754,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 120,00 ",0.102012,07/08/2025 14:06:11,07/08/2025 14:10:46,20," 0,36 ",0.00," 3,61 ",-,-," 23.526,09 "," 23.490,72 "," 22.938,52 "," 24.114,25 "," 0,00 ",-,CFD,US6311011026,
3095881894,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 100,98 ",0.085827,07/08/2025 14:02:54,07/08/2025 14:07:10,20," 0,30 ",0.00," 0,65 ",-,-," 23.533,32 "," 23.540,88 "," 24.121,63 "," 22.945,05 "," 0,00 ",-,CFD,US6311011026,
3095621461,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 104,99 ",0.08932,07/08/2025 13:10:18,07/08/2025 14:00:40,20," 0,32 ",0.00," 4,18 ",-,-," 23.510,97 "," 23.557,73 "," 24.098,54 "," 22.923,20 "," 0,00 ",-,CFD,US6311011026,
3095622917,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 130,00 ",0.110636,07/08/2025 13:12:57,07/08/2025 13:47:26,20," 0,38 ",0.00," 1,91 ",-,-," 23.500,64 "," 23.483,42 "," 22.912,93 "," 24.087,95 "," 0,00 ",-,CFD,US6311011026,
3095521774,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 100,00 ",0.085094,07/08/2025 11:15:36,07/08/2025 13:09:32,20," 0,30 ",0.00," 0,17 ",-,-," 23.503,87 "," 23.505,84 "," 24.092,54 "," 22.917,30 "," 0,00 ",-,CFD,US6311011026,
3095588580,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 99,99 ",0.085087,07/08/2025 11:15:36,07/08/2025 12:23:10,20," 0,30 ",0.00,"(1,24)",-,-," 23.503,87 "," 23.489,34 "," 24.092,54 "," 22.917,30 "," 0,00 ",-,CFD,US6311011026,
3095380703,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 99,99 ",0.085272,07/08/2025 08:28:07,07/08/2025 09:00:56,20," 0,30 ",0.00,"(1,03)",-,-," 23.454,77 "," 23.442,64 "," 24.040,01 "," 22.868,42 "," 0,00 ",-,CFD,US6311011026,
3095334324,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 59,99 ",0.051321,07/08/2025 07:28:48,07/08/2025 07:46:53,20," 0,18 ",0.00," 0,73 ",-,-," 23.380,76 "," 23.395,05 "," 23.964,46 "," 22.796,26 "," 0,00 ",-,CFD,US6311011026,
3095341729,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 60,00 ",0.05133,07/08/2025 07:28:48,07/08/2025 07:37:49,20," 0,18 ",0.00," 0,00 ",-,-," 23.380,76 "," 23.380,75 "," 23.964,46 "," 22.796,26 "," 0,00 ",-,CFD,US6311011026,
3095278070,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 74,99 ",0.064173,07/08/2025 06:58:13,07/08/2025 07:12:08,20," 0,22 ",0.00," 0,71 ",-,-," 23.372,56 "," 23.383,65 "," 23.957,49 "," 22.788,83 "," 0,00 ",-,CFD,US6311011026,
3095295294,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 75,01 ",0.064182,07/08/2025 06:58:13,07/08/2025 07:02:25,20," 0,22 ",0.00,"(0,60)",-,-," 23.372,56 "," 23.363,15 "," 23.957,49 "," 22.788,83 "," 0,00 ",-,CFD,US6311011026,
