Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
06/08/2025 17:46:28,Position closed,NSDQ100/USD," 106,44 ",0.064375,"(12,89)"," 2.099,89 "," 1.917,12 ",3088420955,CFD," 0,00 "
06/08/2025 17:46:28,Position closed,NSDQ100/USD," 169,43 ",0.102578,"(13,34)"," 2.086,55 "," 2.086,55 ",3088524142,CFD," 0,00 "
06/08/2025 17:46:51,Open Position,NSDQ100/USD," 149,99 ",0.128896," 0,00 "," 2.086,55 "," 1.936,56 ",3094936532,CFD," 0,00 "
06/08/2025 18:45:04,Position closed,NSDQ100/USD," 154,49 ",0.128896," 4,50 "," 2.091,05 "," 2.091,05 ",3094936532,CFD," 0,00 "
06/08/2025 18:47:39,Open Position,NSDQ100/USD," 100,99 ",0.086652," 0,00 "," 2.091,05 "," 1.990,06 ",3095119018,CFD," 0,00 "
06/08/2025 19:40:51,Position closed,NSDQ100/USD," 101,92 ",0.086652," 0,93 "," 2.091,98 "," 2.091,98 ",3095119018,CFD," 0,00 "
06/08/2025 20:09:42,Open Position,NSDQ100/USD," 150,00 ",0.128739," 0,00 "," 2.091,98 "," 1.941,98 ",3095176245,CFD," 0,00 "
06/08/2025 23:13:52,Overnight fee,Daily,"(0,71)",-,"(0,71)"," 2.091,27 "," 1.941,27 ",3095176245,CFD," 0,00 "
07/08/2025 04:53:48,Position closed,NSDQ100/USD," 156,17 ",0.128739," 6,17 "," 2.097,44 "," 2.097,44 ",3095176245,CFD," 0,00 "
07/08/2025 04:54:26,Open Position,NSDQ100/USD," 119,99 ",0.102757," 0,00 "," 2.097,44 "," 1.977,45 ",3095240374,CFD," 0,00 "
07/08/2025 06:57:55,Position closed,NSDQ100/USD," 121,48 ",0.102757," 1,49 "," 2.098,93 "," 2.098,93 ",3095240374,CFD," 0,00 "
07/08/2025 06:58:13,Open Position,NSDQ100/USD," 74,99 ",0.128355," 0,00 "," 2.098,93 "," 1.948,93 ",3095278070,CFD," 0,00 "
07/08/2025 07:02:25,Position closed,NSDQ100/USD," 74,41 ",0.064182,"(0,60)"," 2.098,33 "," 2.023,34 ",3095295294,CFD," 0,00 "
07/08/2025 07:12:08,Position closed,NSDQ100/USD," 75,70 ",0.064173," 0,71 "," 2.099,04 "," 2.099,04 ",3095278070,CFD," 0,00 "
07/08/2025 07:28:48,Open Position,NSDQ100/USD," 59,99 ",0.102651," 0,00 "," 2.099,04 "," 1.979,05 ",3095334324,CFD," 0,00 "
07/08/2025 07:37:49,Position closed,NSDQ100/USD," 60,00 ",0.05133," 0,00 "," 2.099,04 "," 2.039,05 ",3095341729,CFD," 0,00 "
07/08/2025 07:46:53,Position closed,NSDQ100/USD," 60,72 ",0.051321," 0,73 "," 2.099,77 "," 2.099,77 ",3095334324,CFD," 0,00 "
07/08/2025 07:47:04,Open Position,NSDQ100/USD," 100,99 ",0.086341," 0,00 "," 2.099,77 "," 1.998,78 ",3095346914,CFD," 0,00 "
07/08/2025 08:28:07,Open Position,NSDQ100/USD," 99,99 ",0.085272," 0,00 "," 2.099,77 "," 1.898,79 ",3095380703,CFD," 0,00 "
07/08/2025 09:00:56,Position closed,NSDQ100/USD," 98,96 ",0.085272,"(1,03)"," 2.098,74 "," 1.997,75 ",3095380703,CFD," 0,00 "
07/08/2025 11:15:36,Open Position,NSDQ100/USD," 100,00 ",0.170181," 0,00 "," 2.098,74 "," 1.797,76 ",3095521774,CFD," 0,00 "
07/08/2025 12:23:10,Position closed,NSDQ100/USD," 98,75 ",0.085087,"(1,24)"," 2.097,50 "," 1.896,51 ",3095588580,CFD," 0,00 "
07/08/2025 13:09:32,Position closed,NSDQ100/USD," 100,17 ",0.085094," 0,17 "," 2.097,67 "," 1.996,68 ",3095521774,CFD," 0,00 "
07/08/2025 13:10:18,Open Position,NSDQ100/USD," 104,99 ",0.08932," 0,00 "," 2.097,67 "," 1.891,69 ",3095621461,CFD," 0,00 "
07/08/2025 13:12:57,Open Position,NSDQ100/USD," 130,00 ",0.110636," 0,00 "," 2.097,67 "," 1.761,69 ",3095622917,CFD," 0,00 "
07/08/2025 13:47:26,Position closed,NSDQ100/USD," 131,91 ",0.110636," 1,91 "," 2.099,58 "," 1.893,60 ",3095622917,CFD," 0,00 "
07/08/2025 14:00:40,Position closed,NSDQ100/USD," 109,17 ",0.08932," 4,18 "," 2.103,76 "," 2.002,77 ",3095621461,CFD," 0,00 "
07/08/2025 14:02:54,Open Position,NSDQ100/USD," 100,98 ",0.085827," 0,00 "," 2.103,76 "," 1.901,79 ",3095881894,CFD," 0,00 "
07/08/2025 14:06:11,Open Position,NSDQ100/USD," 120,00 ",0.102012," 0,00 "," 2.103,76 "," 1.781,79 ",3095888754,CFD," 0,00 "
07/08/2025 14:07:05,Open Position,NSDQ100/USD," 140,00 ",0.118896," 0,00 "," 2.103,76 "," 1.641,79 ",3095890842,CFD," 0,00 "
07/08/2025 14:07:10,Position closed,NSDQ100/USD," 101,63 ",0.085827," 0,65 "," 2.104,41 "," 1.743,42 ",3095881894,CFD," 0,00 "
07/08/2025 14:10:46,Position closed,NSDQ100/USD," 123,61 ",0.102012," 3,61 "," 2.108,02 "," 1.867,03 ",3095888754,CFD," 0,00 "
07/08/2025 14:11:41,Open Position,NSDQ100/USD," 119,98 ",0.102126," 0,00 "," 2.108,02 "," 1.747,05 ",3095907016,CFD," 0,00 "
07/08/2025 14:12:17,Open Position,NSDQ100/USD," 130,00 ",0.110689," 0,00 "," 2.108,02 "," 1.617,05 ",3095908187,CFD," 0,00 "
07/08/2025 14:15:26,Position closed,NSDQ100/USD," 119,65 ",0.102126,"(0,33)"," 2.107,69 "," 1.736,70 ",3095907016,CFD," 0,00 "
07/08/2025 14:16:52,Open Position,NSDQ100/USD," 100,99 ",0.08595," 0,00 "," 2.107,69 "," 1.635,71 ",3095936339,CFD," 0,00 "
07/08/2025 14:27:32,Position closed,NSDQ100/USD," 135,37 ",0.110689," 5,37 "," 2.113,06 "," 1.771,08 ",3095908187,CFD," 0,00 "
07/08/2025 14:28:06,Open Position,NSDQ100/USD," 121,99 ",0.10408," 0,00 "," 2.113,06 "," 1.649,09 ",3095977731,CFD," 0,00 "
07/08/2025 15:00:03,Position closed,NSDQ100/USD," 122,41 ",0.10408," 0,42 "," 2.113,48 "," 1.771,50 ",3095977731,CFD," 0,00 "
07/08/2025 15:00:07,Position closed,NSDQ100/USD," 96,97 ",0.086341,"(4,02)"," 2.109,46 "," 1.868,47 ",3095346914,CFD," 0,00 "
07/08/2025 15:00:07,Position closed,NSDQ100/USD," 95,51 ",0.08595,"(5,48)"," 2.103,98 "," 1.963,98 ",3095936339,CFD," 0,00 "
07/08/2025 15:00:07,Position closed,NSDQ100/USD," 126,66 ",0.118896,"(13,34)"," 2.090,64 "," 2.090,64 ",3095890842,CFD," 0,00 "
07/08/2025 15:00:45,Open Position,NSDQ100/USD," 119,98 ",0.102334," 0,00 "," 2.090,64 "," 1.970,66 ",3096037155,CFD," 0,00 "
07/08/2025 16:45:29,Open Position,NSDQ100/USD," 101,99 ",0.087512," 0,00 "," 2.090,64 "," 1.868,67 ",3096160388,CFD," 0,00 "
07/08/2025 18:20:05,Open Position,NSDQ100/USD," 199,98 ",0.172065," 0,00 "," 2.090,64 "," 1.668,69 ",3096246545,CFD," 0,00 "
07/08/2025 19:03:35,Position closed,NSDQ100/USD," 208,62 ",0.172065," 8,64 "," 2.099,28 "," 1.877,31 ",3096246545,CFD," 0,00 "
07/08/2025 19:57:39,Position closed,NSDQ100/USD," 106,43 ",0.087512," 4,44 "," 2.103,72 "," 1.983,74 ",3096160388,CFD," 0,00 "
07/08/2025 19:58:17,Open Position,NSDQ100/USD," 100,99 ",0.086451," 0,00 "," 2.103,72 "," 1.882,75 ",3096319859,CFD," 0,00 "
07/08/2025 20:36:33,Position closed,NSDQ100/USD," 103,23 ",0.086451," 2,24 "," 2.105,96 "," 1.985,98 ",3096319859,CFD," 0,00 "
07/08/2025 20:37:28,Open Position,NSDQ100/USD," 119,99 ",0.102547," 0,00 "," 2.105,96 "," 1.865,99 ",3096335329,CFD," 0,00 "
07/08/2025 22:05:36,Position closed,NSDQ100/USD," 122,42 ",0.102547," 2,43 "," 2.108,39 "," 1.988,41 ",3096335329,CFD," 0,00 "
