Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
05/06/2025 07:35:59,Position closed,NSDQ100/USD," 107,27 ",0.09395," 5,29 "," 1.570,58 "," 1.570,58 ",3034589121,CFD," 0,00 "
05/06/2025 09:44:55,Open Position,NSDQ100/USD," 102,99 ",0.09471," 0,00 "," 1.570,58 "," 1.467,59 ",3034813201,CFD," 0,00 "
05/06/2025 13:17:58,Position closed,NSDQ100/USD," 103,94 ",0.09471," 0,95 "," 1.571,53 "," 1.571,53 ",3034813201,CFD," 0,00 "
05/06/2025 13:18:28,Open Position,NSDQ100/USD," 101,98 ",0.093682," 0,00 "," 1.571,53 "," 1.469,55 ",3034997088,CFD," 0,00 "
05/06/2025 14:02:48,Open Position,NSDQ100/USD," 101,98 ",0.093983," 0,00 "," 1.571,53 "," 1.367,57 ",3035213995,CFD," 0,00 "
05/06/2025 14:27:09,Position closed,NSDQ100/USD," 107,38 ",0.093983," 5,40 "," 1.576,93 "," 1.474,95 ",3035213995,CFD," 0,00 "
05/06/2025 15:32:07,Position closed,NSDQ100/USD," 111,59 ",0.093682," 9,61 "," 1.586,54 "," 1.586,54 ",3034997088,CFD," 0,00 "
05/06/2025 16:47:26,Open Position,NSDQ100/USD," 119,99 ",0.110569," 0,00 "," 1.586,54 "," 1.466,55 ",3035436363,CFD," 0,00 "
05/06/2025 16:48:34,Open Position,NSDQ100/USD," 99,99 ",0.092194," 0,00 "," 1.586,54 "," 1.366,56 ",3035437677,CFD," 0,00 "
05/06/2025 16:53:58,Open Position,NSDQ100/USD," 119,98 ",0.110682," 0,00 "," 1.586,54 "," 1.246,58 ",3035474968,CFD," 0,00 "
05/06/2025 17:09:55,Position closed,NSDQ100/USD," 121,50 ",0.110682," 1,52 "," 1.588,06 "," 1.368,08 ",3035474968,CFD," 0,00 "
05/06/2025 17:10:06,Open Position,NSDQ100/USD," 101,99 ",0.094013," 0,00 "," 1.588,06 "," 1.266,09 ",3035550084,CFD," 0,00 "
05/06/2025 17:19:56,Position closed,NSDQ100/USD," 103,02 ",0.092194," 3,03 "," 1.591,09 "," 1.369,11 ",3035437677,CFD," 0,00 "
05/06/2025 17:19:56,Position closed,NSDQ100/USD," 104,68 ",0.094013," 2,69 "," 1.593,78 "," 1.473,79 ",3035550084,CFD," 0,00 "
05/06/2025 17:19:56,Position closed,NSDQ100/USD," 122,33 ",0.110569," 2,34 "," 1.596,12 "," 1.596,12 ",3035436363,CFD," 0,00 "
05/06/2025 17:20:26,Open Position,NSDQ100/USD," 101,99 ",0.093884," 0,00 "," 1.596,12 "," 1.494,13 ",3035558728,CFD," 0,00 "
05/06/2025 17:35:28,Position closed,NSDQ100/USD," 103,62 ",0.093884," 1,63 "," 1.597,75 "," 1.597,75 ",3035558728,CFD," 0,00 "
05/06/2025 17:35:47,Open Position,NSDQ100/USD," 54,86 ",0.093789," 0,00 "," 1.597,75 "," 1.495,77 ",3035569956,CFD," 0,00 "
