Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
13/02/2025 19:22:59,Open Position,USD/JPY," 200,00 ",6000," 0,00 "," 4.514,17 "," 2.650,58 ",2941897137,CFD," 0,00 "
13/02/2025 19:42:26,Position closed,NSDQ100/USD," 152,01 ",0.136754," 2,02 "," 4.516,19 "," 2.802,59 ",2941886955,CFD," 0,00 "
13/02/2025 19:43:53,Open Position,NSDQ100/USD," 75,20 ",0.136667," 0,00 "," 4.516,19 "," 2.652,60 ",2941917933,CFD," 0,00 "
13/02/2025 19:44:01,Open Position,NSDQ100/USD," 200,00 ",0.182202," 0,00 "," 4.516,19 "," 2.452,60 ",2941917968,CFD," 0,00 "
13/02/2025 20:14:58,Position closed,NSDQ100/USD," 206,32 ",0.182202," 6,32 "," 4.522,51 "," 2.658,92 ",2941917968,CFD," 0,00 "
13/02/2025 20:15:33,Open Position,NSDQ100/USD," 149,99 ",0.136412," 0,00 "," 4.522,51 "," 2.508,93 ",2941954472,CFD," 0,00 "
13/02/2025 20:15:43,Open Position,NSDQ100/USD," 149,99 ",0.136436," 0,00 "," 4.522,51 "," 2.358,94 ",2941954565,CFD," 0,00 "
13/02/2025 20:23:59,Position closed,USD/JPY," 101,05 ",3000," 1,06 "," 4.523,57 "," 2.459,99 ",2941896627,CFD," 0,00 "
13/02/2025 20:24:06,Position closed,USD/JPY," 202,32 ",6000," 2,32 "," 4.525,89 "," 2.662,31 ",2941897137,CFD," 0,00 "
13/02/2025 20:24:18,Open Position,USD/JPY," 300,00 ",9000," 0,00 "," 4.525,89 "," 2.362,31 ",2941971720,CFD," 0,00 "
13/02/2025 20:24:42,Position closed,NSDQ100/USD," 150,28 ",0.136412," 0,29 "," 4.526,18 "," 2.512,59 ",2941954472,CFD," 0,00 "
13/02/2025 20:25:35,Open Position,NSDQ100/USD," 99,99 ",0.090953," 0,00 "," 4.526,18 "," 2.412,60 ",2941972771,CFD," 0,00 "
13/02/2025 20:25:52,Position closed,USD/JPY," 303,01 ",9000," 3,01 "," 4.529,19 "," 2.715,61 ",2941971720,CFD," 0,00 "
13/02/2025 20:26:19,Open Position,USD/JPY," 260,00 ",7800," 0,00 "," 4.529,19 "," 2.455,61 ",2941973158,CFD," 0,00 "
13/02/2025 20:59:04,Position closed,NSDQ100/USD," 103,35 ",0.090953," 3,36 "," 4.532,55 "," 2.558,96 ",2941972771,CFD," 0,00 "
13/02/2025 21:00:48,Open Position,NSDQ100/USD," 149,97 ",0.13636," 0,00 "," 4.532,55 "," 2.408,99 ",2942009960,CFD," 0,00 "
13/02/2025 21:01:00,Open Position,NSDQ100/USD," 49,99 ",0.045447," 0,00 "," 4.532,55 "," 2.359,00 ",2942011196,CFD," 0,00 "
13/02/2025 21:37:50,Position closed,NSDQ100/USD," 150,99 ",0.13636," 1,02 "," 4.533,57 "," 2.509,99 ",2942009960,CFD," 0,00 "
13/02/2025 23:21:15,Open Position,NSDQ100/USD," 149,99 ",0.136301," 0,00 "," 4.533,57 "," 2.360,00 ",2942024305,CFD," 0,00 "
